Key,Brazilian
cntCollapsedWorkbench,"Bancada Destruída"
cntCollapsedWorkbenchDesc,"Uma bancada destruída e saqueada, não pode ser usada para criar coisas, mas pode conter alguns objetos de valor."
cntConstructionSuppliesRandomLootHelper,"[Construction Loot Random Helper]"
cntCoolerRandomLootHelper,"[Cooler Random Helper]"
cntCupboardCabinetFullOldTopClosed,"Armário Antigo"
cntCupboardCabinetFullRedTopClosed,"Armário"
cntCupboardCabinetOldTopClosed,"Armário Antigo"
cntCupboardCabinetOldTopLootHelper,"[Cupboard Red Random Helper]"
cntCupboardCabinetOldTopOpen,"Armário"
cntCupboardCabinetRedTopClosed,"Armário"
cntCupboardCabinetRedTopLootHelper,"[Cupboard Red Random Helper]"
cntCupboardCabinetRedTopOpen,"Armário"
cntCupboardCornerCNROld,"Armário Antigo"
cntCupboardCornerCNRRed,"Armário"
cntDesertRandomLootHelper,"[Desert Loot Random Helper]"
cntDeskSafeRandomLootHelper,"[Desk Safe Random Helper]"
cntDisplayCaseAmmoLeftRandomLootHelper,"[Ammo Display Case, Left Random Helper]"
cntDisplayCaseAmmoMiddleRandomLootHelper,"[Ammo Display Case, Mid Random Helper]"
cntDisplayCaseAmmoRightRandomLootHelper,"[Ammo Display Case, Right Random Helper]"
cntDomedTrashCanRandomLootHelper,"[Domed Trash Can Random Helper]"
cntDryerRandomLootHelper,"[Dryer Random Helper]"
cntFileCabinetShortRandomLootHelper,"[File Cabinet, Short Random Helper]"
cntFileCabinetShortSecure,"Armário de Arquivo Seguro"
cntFileCabinetTallRandomLootHelper,"[File Cabinet, Tall Random Helper]"
cntFileCabinetTallSecure,"Armário de Arquivo Seguro"
cntForestRandomLootHelper,"[Forest Loot Random Helper]"
cntForgeBustedRandomLootHelper,"[Destroyed Forge Random Helper]"
cntFreezerBeveragesLeftRandomLootHelper,"[Freezer Left, Beverages Random Helper]"
cntFreezerBeveragesMiddleRandomLootHelper,"[Freezer Middle, Beverages Random Helper]"
cntFreezerBeveragesRightRandomLootHelper,"[Freezer Right, Beverages Random Helper]"
cntFreezerBeveragesStandaloneRandomLootHelper,"[Freezer Standalone, Beverages Random Helper]"
cntFreezerGroceriesLeftRandomLootHelper,"[Freezer Left, Groceries Random Helper]"
cntFreezerGroceriesMiddleRandomLootHelper,"[Freezer Middle, Groceries Random Helper]"
cntFreezerGroceriesRightRandomLootHelper,"[Freezer Right, Groceries Random Helper]"
cntFridgeStainlessSteelRandomLootHelper,"[Steel Fridge Random Helper]"
cntGarageRandomLootHelper,"[Garage Loot Random Helper]"
cntGasGrillRandomLootHelper,"[Gas Grill Random Helper]"
cntGasPumpEmpty,"Bomba de Combustível\n[FF1919](vazia)[-]"
cntGasPumpEmptyDesc,"Bomba de combustível vazia"
cntGasPumpFull,"Bomba de Combustível"
cntGasPumpFullDesc,"Bomba de combustível saqueável"
cntGasPumpRandomLootHelper,"[Gas Pump Random Helper]"
cntGunRackLargeRandomLootHelper,"[Gun Rack, Large Random Helper]"
cntGunRackSmallRandomLootHelper,"[Gun Rack, Small Random Helper]"
cntHouseRandomLootHelper,"[House Loot Random Helper]"
cntLaundryBasketRandomLootHelper,"[Laundry Basket Random Helper]"
cntLockersShortRandomLootHelper,"[Lockers Short Random Helper]"
cntLockersShortSecure,"Armários Seguros"
cntLockersTallDoubleRandomLootHelper,"[Lockers Tall Double Random Helper]"
cntLockersTallDoubleSecure,"Armários Seguros"
cntLockersTallMixLinkRandomLootHelper,"[Lockers Mixed 2 Random Helper]"
cntLockersTallMixLinkSecure,"Armários Seguros"
cntLockersTallMixRandomLootHelper,"[Lockers Mixed 1 Random Helper]"
cntLockersTallMixSecure,"Armários Seguros"
cntLockersTallRandomLootHelper,"[Lockers Tall Random Helper]"
cntLockersTallSecure,"Armários Seguros"
cntLootChestHeroInsecureT1,"Caixote de Madeira"
cntLuggageBigRandomLootHelper,"[Luggage Big Random Helper]"
cntLuggageMediumRandomLootHelper,"[Luggage Medium Random Helper]"
cntLuggagePileARandomLootHelper,"[Luggage Pile A Random Helper]"
cntLuggagePileBRandomLootHelper,"[Luggage Pile B Random Helper]"
cntMailBox01Black,"Caixa de Correio Preta"
cntMailBox01Blue,"Caixa de Correio Azul"
cntMailBox01Brown,"Caixa de Correio Marrom"
cntMailBox01Green,"Caixa de Correio Verde"
cntMailBox01Grey,"Caixa de Correio Cinza"
cntMailBox01Orange,"Caixa de Correio Laranja"
cntMailBox01Pink,"Caixa de Correio Rosa"
cntMailBox01Purple,"Caixa de Correio Roxa"
cntMailBox01Red,"Caixa de Correio Vermelha"
cntMailBox01White,"Caixa de Correio Branca"
cntMailBox01Yellow,"Caixa de Correio Amarela"
cntMailBox02Black,"Caixa de Correio Preta"
cntMailBox02Blue,"Caixa de Correio Azul"
cntMailBox02Brown,"Caixa de Correio Marrom"
cntMailBox02Green,"Caixa de Correio Verde"
cntMailBox02Grey,"Caixa de Correio Cinza"
cntMailBox02Orange,"Caixa de Correio Laranja"
cntMailBox02Pink,"Caixa de Correio Rosa"
cntMailBox02Purple,"Caixa de Correio Roxa"
cntMailBox02Red,"Caixa de Correio Vermelha"
cntMailBox02White,"Caixa de Correio Branca"
cntMailBox02Yellow,"Caixa de Correio Amarela"
cntMailBox03Black,"Caixa de Correio Preta"
cntMailBox03Blue,"Caixa de Correio Azul"
cntMailBox03Brown,"Caixa de Correio Marrom"
cntMailBox03Green,"Caixa de Correio Verde"
cntMailBox03Grey,"Caixa de Correio Cinza"
cntMailBox03Orange,"Caixa de Correio Laranja"
cntMailBox03Pink,"Caixa de Correio Rosa"
cntMailBox03Purple,"Caixa de Correio Roxa"
cntMailBox03Red,"Caixa de Correio Vermelha"
cntMailBox03White,"Caixa de Correio Branca"
cntMailBox03Yellow,"Caixa de Correio Amarela"
cntMedicineCabinetClosed,"Armário de Remédios Fechado"
cntMedicineCabinetClosedRandomLootHelper,"[Medicine Cabinet Random Helper]"
cntMedicineCabinetFaucetRandomLootHelper,"[Medicine Cabinet, Faucet Random Helper]"
cntMetalDesk02RandomLootHelper,"[Metal Desk Random Helper]"
cntMetalDesk02Secure,"Mesa de Ferro Segura"
cntMicrowaveRandomLootHelper,"[Microwave Random Helper]"
cntModularClosetRandomLootHelper,"[Garment Bag Random Helper]"
cntMunitionsBoxArmy,"Caixa de Munições do Exército"
cntMunitionsBoxArmySecure,"Caixa de Munições Segura"
cntMunitionsBoxBlueSecure,"Caixa de Munições Segura"
cntMunitionsBoxGreenSecure,"Caixa de Munições Segura"
cntMunitionsBoxOrangeSecure,"Caixa de Munições Segura"
cntMunitionsBoxRedSecure,"Caixa de Munições Segura"
cntNewsDispenseFreeGreen,"Dispensador de Jornal Verde"
cntNewsDispenseFreeOrange,"Dispensador de Jornal Laranja"
cntNewspaperDispenserStandBlue,"Dispensador de Jornal Azul"
cntNewspaperDispenserStandYellow,"Dispensador de Jornal Amarelo"
cntNightstandClosed,"Gaveteiro"
cntNightstandRandomLootHelper,"[Nightstand Random Helper]"
cntPaintingPictureSafeRandomLootHelper,"[Painting, Wall Safe Random Helper]"
cntPillCaseRandomLootHelper,"[Medicine Cabinet Random Helper]"
cntPostMailbox,"Caixa de Correio Urbana"
cntPurse01,blocks,"Bolsa de Dinheiro"
cntQuestNoPHRandomLootHelper,"[Quest Loot, No PH Random Helper]"
cntQuestRandomLootHelper,"[Quest Loot Random Helper]"
cntRetroFridgeRandomLootHelper,"[Retro Fridge Random Helper]"
cntRollingToolBoxRandomLootHelper,"[Rolling Toolbox Random Helper]"
cntRollingToolBoxSecure,"Armário de Ferramentas Móvel Seguro"
cntServiceTruckMoPower,"Caminhão de Serviço Mo Power"
cntServiceTruckMoPowerRandomLootHelper,"[Mo Power Truck/Air Random Helper]"
cntServiceTruckWorkingStiffToolsRandomLootHelper,"[Working Stiffs Truck/Air Random Helper]"
cntShippingCrateBookstore,"Caixote de Transporte Selada \nCrack-A-Book"
cntShippingCrateCarParts,"Caixote de Transporte Selada \nPass-N-Gas"
cntShippingCrateHero,"Caixote de Transporte Selada Oculta"
cntShippingCrateLabEquipment,"Caixote de Transporte Selada \nPop-N-Pills"
cntShippingCrateMoPowerElectronics,"Caixote de Transporte Selada \nPower Electronics"
cntShippingCrateSavageCountry,"Caixote de Transporte Selada \nSavage Country"
cntShippingCrateShamway,"Caixote de Transporte Selada \nShamway"
cntShippingCrateShotgunMessiah,"Caixote de Transporte Selada \nShotgun Messiah"
cntShippingCrateWorkingStiffs,"Caixote de Transporte Selada \nTrabalhador"
cntShoesPileRandomLootHelper,"[Shoes Pile Random Helper]"
cntShoppingBasketRandomLootHelper,"[Shopping Basket Random Helper]"
cntShoppingCartRandomLootHelper,"[Shopping Cart Random Helper]"
cntStorageGeneric,"Caixa de Madeira"
cntStorageGenericSigned,"Caixa de Madeira"
cntStoreCratesRandomLootHelper,"[Store Crate Random Helper]"
cntStoreElectronicsBookShelfSpeaker,"Alto-falantes de mesa"
cntStoreProduceBasketCornerRandomLootHelper,"[Produce Basket, Corner Random Helper]"
cntStoreProduceBasketRandomLootHelper,"[Produce Basket Random Helper]"
cntStoreShelfDoubleBottomFoodRandomLootHelper,"[Store Shelf Double Bot, Food Random Helper]"
cntStoreShelfDoubleBottomHardwareRandomLootHelper,"[Store Shelf Double Bot, Hardware Random Helper]"
cntStoreShelfDoubleBottomPharmaRandomLootHelper,"[Store Shelf Double Bot, Medical Random Helper]"
cntStoreShelfDoubleBottomShoesRandomLootHelper,"[Store Shelf Double Bot, Shoes Random Helper]"
cntStoreShelfDoubleTopFoodRandomLootHelper,"[Store Shelf Double Top, Food Random Helper]"
cntStoreShelfDoubleTopHardwareRandomLootHelper,"[Store Shelf Double Top, Hardware Random Helper]"
cntStoreShelfDoubleTopShoesRandomLootHelper,"[Store Shelf Double Top, Shoes Random Helper]"
cntStoreShelfElectronicsDoubleTallRandomLootHelper,"[Store Shelf Double, Electronics Random Helper]"
cntStoreShelfElectronicsSingleTallRandomLootHelper,"[Store Shelf Single, Electronics Random Helper]"
cntStoreShelfSingleBottomFoodRandomLootHelper,"[Store Shelf Single Bot, Food Random Helper]"
cntStoreShelfSingleBottomHardwareRandomLootHelper,"[Store Shelf Single Bot, Hardware Random Helper]"
cntStoreShelfSingleBottomPharmaRandomLootHelper,"[Store Shelf Single Bot, Medical Random Helper]"
cntStoreShelfSingleBottomShoesRandomLootHelper,"[Store Shelf Single Bot, Shoes Random Helper]"
cntStoreShelfSingleTopFoodRandomLootHelper,"[Store Shelf Single Top, Food Random Helper]"
cntStoreShelfSingleTopHardwareRandomLootHelper,"[Store Shelf Single Top, Hardware Random Helper]"
cntStoreShelfSingleTopShoesRandomLootHelper,"[Store Shelf Single Top, Shoes Random Helper]"
cntStoveModernVer1Closed,"Fogão Moderno"
cntStoveRandomLootHelper,"[Stove Random Helper]"
cntStreetRandomLootHelper,"[Street Loot Random Helper]"
cntTiltTruckRandomLootHelper,"[Tilt Truck Random Helper]"
cntToolBoxOffsetRandomLootHelper,"[Toolbox Offset Random Helper]"
cntToolBoxOffsetSecure,"Caixa de Ferramentas Segura"
cntToolBoxRandomLootHelper,"[Toolbox Random Helper]"
cntToolBoxSecure,"Caixa de Ferramentas Segura"
cntToolsAndForgeRandomLootHelper,"[Tools/Forge Random Helper]"
cntUtilityCartRandomLootHelper,"[Utility Cart Random Helper]"
cntVendingMachine2RandomLootHelper,"[Vending Machine Random Helper]"
cntWallSafeNonPaintingRandomLootHelper,"[Wall Safe, No Painting Random Helper]"
cntWallSafeRandomLootHelper,"[Wall Safe Random Helper]"
cntWasherIndustrialRandomLootHelper,"[Industrial Washer Random Helper]"
cntWasherIndustrialTippedRandomLootHelper,"[Industrial Washer Tipped Random Helper]"
cntWasherRandomLootHelper,"[Washing Machine Random Helper]"
cntWastelandRandomLootHelper,"[Wasteland Loot Random Helper]"
cntWaterCoolerBottle,"Galão de bebedouro"
cntWaterCoolerBottleDesc,"Recipientes para armazenamento de água mineral limpa."
cntWaterCoolerFull,"Bebedouro"
cntWaterCoolerFullDesc,"Recipientes para armazenamento de água mineral limpa."
cntWoodDesk01RandomLootHelper,"[Wood Desk Random Helper]"
cntWoodDesk01Secure,"Mesa de Madeira Segura"
cntWorkbenchBustedRandomLootHelper,"[Destroyed Workbench Random Helper]"
cntWorkstationsBustedRandomLootHelper,"[Workstation, Busted Random Helper]"
cntWorkstationsRandomLootHelper,"[Workstation Random Helper]"
cntYardRandomLootHelper,"[Yard Loot Random Helper]"
coal,"Carvão"
commercial_strip_01,"Complexo Comercial 1"
commercial_strip_02,"Complexo Comercial 2"
commercialDoor1_v1Picked,"Porta Comercial\n[8FCE00](arrombada)[-]"
commercialDoor1_v2Picked,"Porta Comercial Reforçada \n[8FCE00](arrombada)[-]"
commercialDoor1_v3Picked,"Porta Comercial Reforçada v3\n[8FCE00](arrombada)[-]"
commercialDoor2_v1Picked,"Porta Comercial\n[8FCE00](arrombada)[-]"
commercialDoor2_v2Picked,"Porta Comercial Reforçada\n[8FCE00](arrombada)[-]"
commercialDoor2_v3Picked,"Porta Comercial Reforçada v3\n[8FCE00](arrombada)[-]"
commercialDoor4_v1Picked,"Porta Comercial\n[8FCE00](arrombada)[-]"
commercialDoor4_v2Picked,"Porta Comercial Reforçada\n[8FCE00](arrombada)[-]"
commercialDoor4_v3Picked,"Porta Comercial Reforçada v3\n[8FCE00](arrombada)[-]"
copper,"Cobre"
cornfield_lg,"Campo de Milho Grande"
cornfield_med,"Campo de Milho Médio"
cornfield_sm,"Campo de Milho Pequeno"
corrugatedMetalShapes:VariantHelper,"Formas de Metal Corrugado"
cotton,"Algodão"
counterSinkCommercial,"Pia Comercial"
country_junkyard_01,"Ferro-velho do Junkin"
countrytown_business_01,"Bigg Buns"
countrytown_business_02,"Agência dos Correios"
countrytown_business_03,"The-Bear-Den"
countrytown_business_04,"Gabinete do Aldo"
countrytown_business_05,"Açougueiro Petes"
countrytown_business_06,"Red Rubys"
countrytown_business_07,"Cafeteria da Maggie"
countrytown_business_08,"Equipamentos contra incêndio para acampamento"
countrytown_business_09,"4Ever Video"
countrytown_business_10,"Bobcats Bar"
countrytown_business_13,"The Dead Rooster"
countrytown_business_14,"Pub do Grumpy"
courthouse_med_01,"Prefeitura"
culvert_01,"Bueiro"
dartTrapSchematic,"Diagrama de Armadilha de Dardos"
deco_coal_vein,"Veio de Carvão"
deco_iron_vein,"Veio de Ferro"
deco_lead_vein,"Veio de Chumbo"
deco_nitrate_vein,"Veio de Nitrato"
deco_remnant_stone_01,"Ruinas 1"
deco_remnant_stone_02,"Ruinas 2"
deco_remnant_stone_03,"Ruinas 3"
deco_remnant_stone_04,"Ruinas 4"
deco_remnant_stone_05,"Ruinas 5"
deco_remnant_wood_01,"Ruínas da Casa de Madeira 1"
deco_remnant_wood_02,"Ruínas da Casa de Madeira 2"
deco_rubble_stone_01,"Entulho de Pedra1"
deco_rubble_stone_02,"Entulho de Pedra2"
deco_rubble_stone_03,"Entulho de Pedra3"
deco_rubble_stone_04,"Entulho de Pedra4"
deco_rubble_stone_05,"Entulho de Pedra5"
deco_rubble_stone_06,"Entulho de Pedra6"
deco_rubble_stone_07,"Entulho de Pedra7"
deco_rubble_stone_08,"Entulho de Pedra8"
deco_rubble_stone_09,"Entulho de Pedra9"
deco_rubble_stone_10,"Entulho de Pedra10"
deco_shale_vein,"Veia de Xisto Betuminoso"
departure_bridge_01,"Ponte de embarque"
departure_bridge_02,"Restos da ponte de embarque"
departure_city_blk_01,"Bloco da cidade de partida"
departure_city_blk_plaza,"Praça da Cidade"
departure_city_sign,"Placa de embarque da cidade"
desert_arch,"Arco do Deserto"
desert_form01,"Formação do Deserto 1"
desert_form02,"Formação do Deserto 2"
diersville_city_blk_01,"Bloco 1 da cidade de Diersville"
diersville_city_blk_02,"Bloco 2 da cidade de Diersville"
diersville_city_sign_01,"Placa da cidade de Diersville"
diner_01,"Restaurante 1"
diner_02,"Café do Bob"
diner_03,"Café Del's"
docks_01,"Posto BJS"
docks_02,"Marina Pals"
docks_03,"Haulwell Freight Co."
docks_04,"Doca 4"
docks_05,"Isca viva"
downtown_building_01,"Construção no Centro 1"
downtown_building_02,"Construção no Centro 2"
downtown_building_03,"Construção desmoronada"
downtown_building_05,"Construção no Centro 5"
downtown_business_06,"Special Tottz"
downtown_business_07,"Doggo's"
downtown_filler_01,"Yucca Juice/Azy Fitness"
downtown_filler_02,"Cloud 88/LeSpank"
downtown_filler_03,"Wyzeguy CPA/Schittz Associados"
downtown_filler_04,"Apto do Centro Edifício 4"
downtown_filler_05,"Apto do Centro Edifício 5"
downtown_filler_06,"Construção para aluguel de apartamentos"
downtown_filler_07,"Clínica Dumpsy"
downtown_filler_08,"Apto Centro Edifício 8"
downtown_filler_09,"Sub-Guy"
downtown_filler_11,"Fit Box"
downtown_filler_12,"Crack-A-Book/Savage Country"
downtown_filler_13,"Luigi's"
downtown_filler_14,"Correios do Centro"
downtown_filler_15,"Shamway Foods"
downtown_filler_21,"Cafeteria Zip"
downtown_filler_22,"Gonuts Donuts"
downtown_filler_23,"Banco HNN"
downtown_filler_24,"Loja de fantasia"
downtown_filler_25,"Pizzaria da Mamma"
downtown_filler_26,"Centro 26"
downtown_filler_27,"Lavanderia OK"
downtown_filler_29,"Centro 27"
downtown_filler_30,"Rádio KLZ"
downtown_filler_31,"Automóveis Jack"
downtown_filler_park_01,"Praça 1"
downtown_filler_park_02,"Praça 2"
downtown_filler_park_03,"Praça 3"
downtown_filler_park_04,"Praça 4"
downtown_filler_park_05,"Praça 5"
downtown_filler_plaza_01,"Plaza 1"
downtown_filler_plaza_02,"Plaza 2"
downtown_filler_plaza_03,"Plaza 3"
downtown_filler_plaza_04,"Plaza 4"
downtown_filler_plaza_05,"Plaza 5"
downtown_strip_01,"Complexo do Centro 1"
downtown_strip_02,"Complexo do Centro 2"
downtown_strip_03,"Complexo do Centro 3"
downtown_strip_04,"Complexo do Centro 4"
downtown_strip_05,"Complexo do Centro 5"
downtown_strip_06,"Complexo do Centro 6"
downtown_strip_07,"Complexo do Centro 7"
downtown_strip_08,"Complexo do Centro 8" /* Construção não completa ainda */
downtown_strip_09,"Complexo do Centro 9"
downtown_strip_10,"Complexo do Centro 10"
downtown_strip_11,"Complexo do Centro 11"
drinkJarBeerSchematic,"Receita de Cerveja"
drinkJarCoffeeSchematic,"Receita de Café"
drinkJarEmpty,"Jarra Vazia de Água"
drinkJarEmptyDesc,"Uma jarra de vidro vazia que pode ser enchida em fontes d’água com a ação secundária ou usada em outras receitas."
drinkJarGoldenRodTeaSchematic,"Receita de Chá de Solidago"
drinkJarGrandpasAwesomeSauceSchematic,"Receita do Molho Especial do Vovô"
drinkJarGrandpasForgettingElixir,"Elixir do esquecimento do vovô"
drinkJarGrandpasForgettingElixirDesc,"Tão forte que você vai se esquecer até do seu nome.\n(Ele redefine seus pontos de habilidade, beleza?)"
drinkJarGrandpasLearningElixirSchematic,"Receita de elixir da aprendizagem do vovô"
drinkJarGrandpasMoonshineSchematic,"Receita de Birita do Vovô"
drinkJarPureMineralWater,"Água Mineral Pura"
drinkJarRedTeaSchematic,"Receita de Chá Vermelho"
drinkYuccaJuiceSmoothieSchematic,"Receita de Vitamina de Sumo da Yucca"
drugAntibioticsSchematic,"Receita de Antibióticos"
drugFortBitesBlueprint,"Diagrama de Robustoz"
drugFortBitesBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
drugHerbalAntibioticsSchematic,"Receita de Antibiótico Fitoterápico"
drugJailBreakers,"Fugitivos"
drugJailBreakersDesc,"Seja o terror das fechaduras teimosas. O arrombamento de fechaduras é sempre bem-sucedido."
drugRecogBlueprint,"Diagrama de Recogue"
drugRecogBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
drugSteroids,"Esteróides"
drugSteroidsBlueprint,"Diagrama de Esteroides"
drugSteroidsBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
drugSteroidsDesc,"Permite que você carregue mais e execute suas ações normalmente mesmo quando tiver um membro torcido ou quebrado."
editLabel,"[8FCE00][{0}][-] Editar Rótulo"
electricfencepostSchematic,"Diagrama de Poste de Cerca Elétrica"
electrictimerrelaySchematic,"Diagrama de transmissor de Cronômetro Elétrico"
electricwirerelayBlueprint,"Diagrama de Transmissor de Fio Elétrico"
electricwirerelayBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
electronics,"Eletrônicos"
factory_03,"Farmaceutica Pop-N-Pills"
factory_lg_01,"Fábrica de Alimentos Shamway"
factory_lg_02,"Fábrica de Armas Shotgun Messiah"
farm_01,"Fazenda Jericó"
farm_02,"Fazenda 2"
farm_03,"Fazenda 3"
farm_04,"Veterinária do Campo"
farm_05,"Fazenda 5"
farm_07,"Fazenda 7"
farm_08,"Fazenda 8"
farm_10,"Fazenda 10"
farm_11,"Fazenda 11"
farm_12,"Fazenda 12"
farm_14,"Fazenda 14"
fastfood_01,"Prowlin Petes"
fastfood_02,"Hurry Harry's"
fastfood_03,"Berserk Bills"
fastfood_04,"Fats Food"
feather,"Penas"
fiber,"Fibras Vegetais"
field_concert_01,"Concert Field"
fire_station_01,"Bombeiros 7"
fire_station_02,"Bombeiros 2"
fire_station_03,"Fire Haus 1"
foodBaconAndEggsSchematic,"Receita de Ovos com Bacon"
foodBakedPotatoSchematic,"Receita de Batata Assada"
foodBlueberryPieSchematic,"Receita de Torta de Mirtilo"
foodBoiledMeatSchematic,"Receita de Cozido de Carne"
foodCanShamSchematic,"Receita de Carne Falsa"
foodChiliDogSchematic,"Receita de Salsicha de Chili"
foodCornBreadSchematic,"Receita de Pão de Milho"
foodFishTacosSchematic,"Receita de Tacos de Peixe"
foodGrilledMeatSchematic,"Receita de Carne Grelhada"
foodGumboStewSchematic,"Receita de Guisado de Gumbo"
foodHoboStewSchematic,"Receita de Guisado de Mendigo"
foodMeatStewSchematic,"Receita de Guisado de Carne"
foodPumpkinBreadSchematic,"Receita de Pão de Abóbora"
foodPumpkinCheesecakeSchematic,"Receita de Cheesecake de Abóbora"
foodPumpkinPieSchematic,"Receita de Torta de Abóbora"
foodShepardsPieSchematic,"Receita de Pastelão de Carne"
foodSpaghettiSchematic,"Receita de Espaguete"
foodSteakAndPotatoSchematic,"Receita de Prato de Carne com Batatas"
foodTunaFishGravyToastSchematic,"Receita de Torrada com Molho de Atum"
foodVegetableStewSchematic,"Receita de Guisado de Legumes"
football_stadium,"Estádio de Futebol"
forge,"Forja"
forgeActivate,"[8FCE00][{0}][-] Abrir Forja"
forgeSchematic,"Diagrama da Fornalha"
forgeTip_title,"Forjas"
forgeTip,"As forjas derretem metais e outros recursos para fazer receitas.\nSó é possível fazer receitas na forja usando recursos fundidos e não itens do inventário.\n\nInstale uma bigorna ou fole para melhorar o desempenho da forja e um cadinho para permitir a fabricação de itens de aço.\nSegure “E” para recolher estações de trabalha em sua área de terra reivindicada."
frameShapes:VariantHelper,"Forma de Quadro"
funeral_home_01,"Funerária AmIgone?"
garage_01,"Garagem 1"
garage_02,"Garagem 2"
garage_07,"Casa inacabada"
garageDoorHouseBrownPicked,"Porta de Garagem da casa marrom 5x3 (POI)\n[8FCE00](arrombada)[-]"
garageDoorHousePicked,"Porta de Garagem de Rolar 5x3 (POI)\n[8FCE00](arrombada)[-]"
garageDoorHousePlayerPicked,"Porta de Garagem de Rolar 5x3\n[8FCE00](arrombada)[-]"
garageDoorIndustrial_PoweredBlueprint,"Diagrama de Portão de Garagem de Aço Energizado 5x3"
garageDoorIndustrial_PoweredBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
garageDoorIndustrialPicked,"Porta de Garagem de Aço 5x3 (POI)\n[8FCE00](arrombada)[-]"
garageDoorMetal_v1Picked,"Porta de Garagem 3x2\n[8FCE00](arrombada)[-]"
garageDoorMetal_v1PoweredBlueprint,"Diagrama de Portão de Garagem de Aço Energizado 3x2"
garageDoorMetal_v1PoweredBlueprintDesc,"Ensina a você uma nova receita de criação. Se você já souber essa receita ganha EXP quando usado."
garageDoorMetal_v2Picked,"Porta de Garagem reforçada 3x2\n[8FCE00](arrombada)[-]"
garageDoorMetal_v3Picked,"Porta de Garagem reforçada 3x2\n[8FCE00](arrombada)[-]"
gas_station_01,"Posto de Gasolina 1"
gas_station_02,"Posto de Gasolina 2"
gas_station_03,"Posto de Gasolina 3"
gas_station_04,"Posto de Gasolina 4"
gas_station_05,"Posto de Gasolina 5"
gas_station_06,"Posto de Gasolina 6"
gas_station_07,"Posto de Gasolina 7"
gas_station_08,"Posto de Gasolina 8"
gas_station_09,"Posto de Gasolina 9"
gas_station_10,"Posto de Gasolina 10"
gas_station_11,"Posto de Gasolina do Jerry"
generatorbank,"Banco de geradores"
generatorbankSchematic,"Diagrama do básico da eletricidade"
generatorbankSchematicDesc,"Lendo o esquema você vai aprender como criar este item"
glass,"Vidro"
goAdvanced,"Avancado"
goAnimals,"{0} Animais"
goGameName,"Nome do jogo"
goGameWorld,"Mundo do jogo"
goLandClaimCount,"Zonas Seguras"
goLandClaimCountDesc,"Define quantas zonas seguras ativas são permitidas ao mesmo tempo por jogador"
goLandClaimCountValue,"1"
goLandClaimCountValues,"{0}"
gold,"Ouro"
goMapSize,"Tamanho"
goMapSize10240,"10 km"
goMapSize12288,"12 km"
goMapSize14336,"14 km"
goMapSize16384,"16 km"
goMapSize4096,"4 km"
goMapSize6144,"6 km"
goMapSize8192,"8 km"
goMaxSpawnedAnimals,"Máximo de animais"
goMaxSpawnedZombies,"Máximo de zumbis"
goWorldGenerate,"Gerar Mundo"
goWorldSeed,"Seed de mundo"
goWorldSize,"Tamanho do mundo"
goZombie,"Zumbi"
goZombies,"{0} Zumbis"
gravestowne_city_blk_01,"Quarteirão da cidade de Gravestowne"
gravestowne_city_blk_half,"Meio quarteirão da cidade de Gravestowne"
gravestowne_city_blk_quarter,"Meio quarteirão da cidade de Gravestowne"
gravestowne_city_sign_01,"Placa da cidade de Gravestowne"
gravestowne_street_crater_01,"Cratera da cidade de Gravestowne"
groupAll,"Tudo"
groupAllBlocks,"Todos Blocos"
groupAmmo,"Munição"
groupAmmoAndExplosives,"Munição e Explosivos"
groupAmmoPortableTurret,"Munição de Torreta"
groupAmmoPrimitive,"Munição primitiva"
groupAmmoStandard,"Munição padrão"
groupAmmoWeapons,"Munição/Armas"
groupAppliances,"Utensilhos"
groupAutomotive,"Automotivo"
groupBars,"Barras e Treliças"
groupBasicBlocks,"Blocos básicos"
groupBasics,"Basico"
groupBeams,"Vigas e Feixes"
groupBlocks,"Blocos"
groupBooks,"Livros"
groupBooksAndSchematics,"Livros e Esquemas"
groupBuilding,"Construção"
groupBundles,"Pacotes"
groupCatwalks,"Passarelas"
groupChemicals,"Produtos químicos"
groupClothing,"Roupas"
groupClothingAndArmor,"Roupas e Armaduras"
groupCollectors,"Coleção de Recursos"
groupConsumables,"Consumível"
groupContainers,"Recipiente"
groupCorpses,"Cadáveres"
groupCrops,"Plantações"
groupDebris,"Destroços"
groupDecor,"Decoração"
groupDecorMisc,"Decoração/Diversos"
groupDoors,"Portas"
groupDrinks,"Bebidas"
groupDyes,"Tinturas"
groupElectrical,"Elétrico"
groupEmpty,"Armazenamento vazio"
groupExplosives,"Explosivos"
groupFences,"Cercas"
groupFirstAid,"Primeiros Socorros"
groupFoliage,"Folhagem"
groupFood,"Comida"
groupFoodCooking,"Comida/Cozinhar"
groupFrames,"Blocos de quadro"
groupFurniture,"Mobiliário"
groupGrenades,"Granadas"
groupHeavyArmor,"Armadura pesada"
groupHeroTreasure,"Tesouro"
groupItems,"Itens"
groupLightArmor,"Armadura leve"
groupLighting,"Iluminação"
